2221010301-1401	136342394
2221010301	136342394
2221010501-1401	136342397
2221010501	136342397
2221061101-1401	136342420
2221061101	136342420
1802060601	136342427
1802060605	136342429
1821010600	136342510
1821010300	136342586
1821010500	136342597
1802060201	136342604
1802060303	136342633
1802060403	136342634
1802060103	136342639
1802060101	136342656
1802060401	136342662
1802060501	136342664
1821021500	136342693
1821020400	136342709
1813010110	136342723
1813010102	136342729
1802070303	136342776
1802070301	136342778
2221021201	136342830
2221021203	136342843
2221021303-1401	136342857
2221021303	136342857
2221021301-1401	136342858
2221021301	136342858
1801021204-1401	136342903
1801021204	136342903
1801021203-1401	136342904
1801021203	136342904
1802021201-1401	136342963
1802021201	136342963
1802021301-1401	136342982
1802021301	136342982
1802060705	136343131
1033010209	136343314
1033010202	136343315
1042061903	136343714
1042061904	136343727
1042061912	136343737
1802060301	136343784
1802060304	136343804
1802080104-1401	136343852
1802080104	136343852
1802080105-1401	136343870
1802080105	136343870
1802080101-1401	136343887
1802080101	136343887
1802080201	136343907
1802080205	136343948
1812010500	136344011
1801060904-1401	136344033
1801060904	136344033
1801060903-1401	136344034
1801060903	136344034
1801060704-1401	136344101
1801060704	136344101
1801060703-1401	136344102
1801060703	136344102
1802061305-1401	136344164
1802061305	136344164
1802061301-1401	136344166
1802061301	136344166
1802020304-1401	136344170
1802020304	136344170
1802020305-1401	136344175
1802020305	136344175
1801060604-1401	136344179
1801060604	136344179
1801060603-1401	136344180
1801060603	136344180
1802020301-1401	136344188
1802020301	136344188
1802021504-1401	136344198
1802021504	136344198
1802021501-1401	136344200
1802021501	136344200
1802021505-1401	136344203
1802021505	136344203
1802021601-1401	136344207
1802021601	136344207
1801030603-1401	136344212
1801030603	136344212
1801030604-1401	136344217
1801030604	136344217
1802021004	136344221
1802021005	136344223
1802021001	136344225
1801030578	136344235
1801030504	136344238
1802021405	136344250
1802021404	136344252
1802021401	136344256
1802021105	136344266
1802021104	136344268
1802021101	136344271
1802020405	136344289
1802020404	136344291
1802020401	136344294
1802020804	136344304
1802020805	136344306
1802020801	136344308
1802070805	136344340
1802070804	136344342
1802070801	136344344
1021040208	136344370
1002040202	136344395
1002040201	136344396
1802060203	136344400
2221060701-1401	136344428
2221060701	136344428
2221060901-1401	136344488
2221060901	136344488
1802010501-1401	136344497
1802010501	136344497
1802060901	136344502
1802060904	136344503
1802060903	136344508
1802010401-1401	136344513
1802010401	136344513
2221020401-1402	136344550
2221020401	136344550
2221020201-1402	136344552
2221020201	136344552
2221021901	136344555
2221022101-1401	136344560
2221022101	136344560
2221061301-1401	136344575
2221061301	136344575
2221060801-1401	136344577
2221060801	136344577
2221061401-1401	136344578
2221061401	136344578
2221062001-1401	136344579
2221062001	136344579
2221062101-1401	136344580
2221062101	136344580
2221101001-1401	136344592
2221101001	136344592
2221100401-1401	136344593
2221100401	136344593
2221100501-1401	136344594
2221100501	136344594
2221100601-1401	136344595
2221100601	136344595
2221100801-1401	136344597
2221100801	136344597
2221100901-1401	136344598
2221100901	136344598
2221101101-1401	136344599
2221101101	136344599
2221101201-1401	136344601
2221101201	136344601
2221100201-1401	136344602
2221100201	136344602
2221101301	136344603
2221010401-1401	136344605
2221010401	136344605
2221100701-1401	136344610
2221100701	136344610
2221080101-1401	136344612
2221080101	136344612
2221080201-1401	136344613
2221080201	136344613
2221080301-1401	136344614
2221080301	136344614
2221080401-1401	136344615
2221080401	136344615
2221080501-1401	136344616
2221080501	136344616
2221020901-1401	136344618
2221020901	136344618
2221110101	136344619
2221010101-1401	136344632
2221010101	136344632
2221010201-1401	136344640
2221010201	136344640
2221101401-1401	136344645
2221101401	136344645
2221020301-1401	136344646
2221020301	136344646
2221020101-1401	136344653
2221020101	136344653
2221020701	136344660
2221020801-1401	136344663
2221020801	136344663
2221060301-1401	136344666
2221060301	136344666
2221060401-1401	136344669
2221060401	136344669
2221060101-1401	136344672
2221060101	136344672
2221060201-1401	136344675
2221060201	136344675
1004060602	136344678
1802060701	136344729
1001060402	136344740
1812010100	136344746
1812010200	136344747
1812010300	136344748
1812010400	136344749
1821020100	136344764
1821020200	136344765
1821020300	136344767
2221061201-1401	136344768
